Item name,Billed Qty,Product MRP,Sales Unit,Product Cost (without tax),Product Tax %,Profit Margin,Cumulative Profit Margin,,,,,Unique Items,Cumulative Profit Margin Unique,,SORTED Unique Items,Profit Margin Unique SORTED,,Cumulative Profit Margin,Cumulative Profit Margin Unique %,Cumulative Profit Margin Unique % SUM,Category,,,,
ENVAS 5MG,15,59.82,15,40.59,12,14.3592,1840310.178,,,,,,,,,,,,,,,,,,
ENVAS 5MG,15,59.82,15,40.59,12,14.3592,1840324.537,,,,,,,,,,,,,,,,,,
ENVAS 5MG,15,59.82,15,40.59,12,14.3592,1840338.896,,,,,,,,,,,,,,,,,,
ENVAS 5MG,15,59.82,15,40.59,12,14.3592,1840353.256,,,,,,,,,,,,,,,,,,
ATEN 25MG,30,27.9,14,18.93,12,14.35371429,1840367.609,,,,,,,,,,,,,,,,,,
ATEN 25MG,30,27.9,14,18.93,12,14.35371429,1840381.963,,,,,,,,,,,,,,,,,,
ATEN 25MG,30,27.9,14,18.93,12,14.35371429,1840396.317,,,,,,,,,,,,,,,,,,
ATEN 25MG,30,27.9,14,18.93,12,14.35371429,1840410.67,,,,,,,,,,,,,,,,,,
MONTRIZIN TABS,5,130,10,90.44,12,14.3536,1840425.024,,,,,,,,,,,,,,,,,,
MONTRIZIN TABS,5,130,10,90.44,12,14.3536,1840439.378,,,,,,,,,,,,,,,,,,
PENTIDS 400MG,30,19.96,10,13.55,12,14.352,1840453.73,,,,,,,,,,,,,,,,,,
GLIMESTAR 1MG,20,29.9,10,20.29,12,14.3504,1840468.08,,,,,,,,,,,,,,,,,,
MUCOLITE SR,5,119.5,10,81.09,12,14.3396,1840482.42,,,,,,,,,,,,,,,,,,
MUCOLITE SR,5,119.5,10,81.09,12,14.3396,1840496.759,,,,,,,,,,,,,,,,,,
MUCOLITE SR,5,119.5,10,81.09,12,14.3396,1840511.099,,,,,,,,,,,,,,,,,,
MUCOLITE SR,5,119.5,10,81.09,12,14.3396,1840525.438,,,,,,,,,,,,,,,,,,
MUCOLITE SR,5,119.5,10,81.09,12,14.3396,1840539.778,,,,,,,,,,,,,,,,,,
MUCOLITE SR,5,119.5,10,81.09,12,14.3396,1840554.118,,,,,,,,,,,,,,,,,,
MUCOLITE SR,5,119.5,10,81.09,12,14.3396,1840568.457,,,,,,,,,,,,,,,,,,
RAZO D,3,298.5,15,202.56,12,14.32656,1840582.784,,,,,,,,,,,,,,,,,,
OTRIVIN S DROPS,1,64.42,1,44.73,12,14.3224,1840597.106,,,,,,,,,,,,,,,,,,
TAXIM O 200MG,5,119.31,10,80.96,12,14.3174,1840611.424,,,,,,,,,,,,,,,,,,
ATORVA 20MG,4,223.7,15,151.8,12,14.31573333,1840625.739,,,,,,,,,,,,,,,,,,
ATORVA 20MG,4,223.7,15,151.8,12,14.31573333,1840640.055,,,,,,,,,,,,,,,,,,
BECOSULES SYP 120ML,2,36.89,1,26.55,12,14.308,1840654.363,,,,,,,,,,,,,,,,,,
AMLOGARD 5MG,30,82.98,30,61.32,12,14.3016,1840668.665,,,,,,,,,,,,,,,,,,
AMLOGARD 5MG,30,82.98,30,61.32,12,14.3016,1840682.966,,,,,,,,,,,,,,,,,,
ENZAR FORTE,6,148.95,15,101.07,12,14.30064,1840697.267,,,,,,,,,,,,,,,,,,
GLADOR 1MG,15,59.58,15,40.43,12,14.2984,1840711.565,,,,,,,,,,,,,,,,,,
SUPERMET XL 25MG,15,59.52,15,40.38,12,14.2944,1840725.86,,,,,,,,,,,,,,,,,,
SUPERMET XL 25MG,15,59.52,15,40.38,12,14.2944,1840740.154,,,,,,,,,,,,,,,,,,
LEVOFLOX 500MG,5,90.49,10,55.27,12,14.2938,1840754.448,,,,,,,,,,,,,,,,,,
LEVOFLOX 500MG,5,90.49,10,55.27,12,14.2938,1840768.742,,,,,,,,,,,,,,,,,,
LEVOFLOX 500MG,5,90.49,10,55.27,12,14.2938,1840783.035,,,,,,,,,,,,,,,,,,
LEVOFLOX 500MG,5,90.49,10,55.27,12,14.2938,1840797.329,,,,,,,,,,,,,,,,,,
LIPICURE 10MG,10,123.2,20,84.48,12,14.2912,1840811.62,,,,,,,,,,,,,,,,,,
DOMSTAL,20,29.79,10,20.22,12,14.2872,1840825.908,,,,,,,,,,,,,,,,,,
DOMSTAL,20,29.79,10,20.22,12,14.2872,1840840.195,,,,,,,,,,,,,,,,,,
DOMSTAL,20,29.79,10,20.22,12,14.2872,1840854.482,,,,,,,,,,,,,,,,,,
DOMSTAL,20,29.79,10,20.22,12,14.2872,1840868.769,,,,,,,,,,,,,,,,,,
DOMSTAL,20,29.79,10,20.22,12,14.2872,1840883.056,,,,,,,,,,,,,,,,,,
DOMSTAL,20,29.79,10,20.22,12,14.2872,1840897.344,,,,,,,,,,,,,,,,,,
DICLOMOL,7,85,10,57.67,12,14.28672,1840911.63,,,,,,,,,,,,,,,,,,
TUS Q,5,53,10,21.81,12,14.2864,1840925.917,,,,,,,,,,,,,,,,,,
DYTOR PLUS 10MG,10,89.3,15,60.6,12,14.28533333,1840940.202,,,,,,,,,,,,,,,,,,
LORSAID P,6,99.15,10,67.28,12,14.27784,1840954.48,,,,,,,,,,,,,,,,,,
HISONE 10MG,10,68.55,10,51.69,5,14.2755,1840968.755,,,,,,,,,,,,,,,,,,
HISONE 10MG,10,68.55,10,51.69,5,14.2755,1840983.031,,,,,,,,,,,,,,,,,,
HISONE 10MG,10,68.55,10,51.69,5,14.2755,1840997.306,,,,,,,,,,,,,,,,,,
HISONE 10MG,10,68.55,10,51.69,5,14.2755,1841011.582,,,,,,,,,,,,,,,,,,
HISONE 10MG,10,68.55,10,51.69,5,14.2755,1841025.857,,,,,,,,,,,,,,,,,,
HISONE 10MG,10,68.55,10,51.69,5,14.2755,1841040.133,,,,,,,,,,,,,,,,,,
HISONE 10MG,10,68.55,10,51.69,5,14.2755,1841054.408,,,,,,,,,,,,,,,,,,
ISTAVEL 50MG 7'S,1,59.5,1,40.38,12,14.2744,1841068.683,,,,,,,,,,,,,,,,,,
P 120 SYP 60ML,1,39.65,1,22.66,12,14.2708,1841082.954,,,,,,,,,,,,,,,,,,
P 120 SYP 60ML,1,39.65,1,22.66,12,14.2708,1841097.224,,,,,,,,,,,,,,,,,,
P 120 SYP 60ML,1,39.65,1,22.66,12,14.2708,1841111.495,,,,,,,,,,,,,,,,,,
FACE MASK (4.50) 3 PLY,5,450,100,156.8,5,14.268,1841125.763,,,,,,,,,,,,,,,,,,
FACE MASK (4.50) 3 PLY,5,450,100,156.8,5,14.268,1841140.031,,,,,,,,,,,,,,,,,,
PRACTIN,16,37.15,10,25.21,12,14.26368,1841154.295,,,,,,,,,,,,,,,,,,
ZENFLOX PLUS,4,148.5,10,100.77,12,14.25504,1841168.55,,,,,,,,,,,,,,,,,,
ELECTROBION 28.5,2,19.79,1,12.06,5,14.254,1841182.804,,,,,,,,,,,,,,,,,,
ELECTROBION 28.5,2,19.79,1,12.06,5,14.254,1841197.058,,,,,,,,,,,,,,,,,,
ALTHROCIN SYP 60ML,1,59.35,1,40.27,12,14.2476,1841211.306,,,,,,,,,,,,,,,,,,
ALTHROCIN SYP 60ML,1,59.35,1,40.27,12,14.2476,1841225.553,,,,,,,,,,,,,,,,,,
SYMBIOTIK CAPS,9,39.6,6,26.88,12,14.2416,1841239.795,,,,,,,,,,,,,,,,,,
PREGALIN M 75MG,3,296.6,15,201.27,12,14.23552,1841254.03,,,,,,,,,,,,,,,,,,
XYZAL M TABS,3,230.25,15,142.03,12,14.23528,1841268.266,,,,,,,,,,,,,,,,,,
TELMA 20MG,15,122.68,30,84.12,12,14.2328,1841282.498,,,,,,,,,,,,,,,,,,
TELMA 20MG,15,122.68,30,84.12,12,14.2328,1841296.731,,,,,,,,,,,,,,,,,,
TELMA 20MG,15,122.68,30,84.12,12,14.2328,1841310.964,,,,,,,,,,,,,,,,,,
DYTOR 5MG,15,59.29,15,40.23,12,14.2324,1841325.196,,,,,,,,,,,,,,,,,,
DYTOR 5MG,15,59.29,15,40.23,12,14.2324,1841339.429,,,,,,,,,,,,,,,,,,
AB PHYLLINE,4,148.2,10,100.57,12,14.22464,1841353.653,,,,,,,,,,,,,,,,,,
MEFTAL 250mg,20,22.5,10,13.74,12,14.2224,1841367.876,,,,,,,,,,,,,,,,,,
AZILIDE 250mg,5,118.49,10,80.4,12,14.221,1841382.097,,,,,,,,,,,,,,,,,,
CLEARLIV,10,108.8,30,59.06,12,14.2176,1841396.314,,,,,,,,,,,,,,,,,,
DEPLATT A 75MG,10,88.85,15,60.29,12,14.2168,1841410.531,,,,,,,,,,,,,,,,,,
AZEE 250MG,3,118.49,6,80.41,12,14.2154,1841424.747,,,,,,,,,,,,,,,,,,
UPRISE D3 1K CAPS,10,59.19,10,40.17,12,14.1996,1841438.946,,,,,,,,,,,,,,,,,,
UPRISE D3 1K CAPS,10,59.19,10,40.17,12,14.1996,1841453.146,,,,,,,,,,,,,,,,,,
UPRISE D3 1K CAPS,10,59.19,10,40.17,12,14.1996,1841467.345,,,,,,,,,,,,,,,,,,
UPRISE D3 1K CAPS,10,59.19,10,40.17,12,14.1996,1841481.545,,,,,,,,,,,,,,,,,,
UPRISE D3 1K CAPS,10,59.19,10,40.17,12,14.1996,1841495.745,,,,,,,,,,,,,,,,,,
LEVOLIN 0.63 REPULES 5'S,2,29.6,1,20.09,12,14.1984,1841509.943,,,,,,,,,,,,,,,,,,
AQUASOL A 30'S =VITAMIN A,2,29.6,1,20.09,12,14.1984,1841524.141,,,,,,,,,,,,,,,,,,
LANZOL JUNIOR 15MG,6,147.87,15,100.34,12,14.19568,1841538.337,,,,,,,,,,,,,,,,,,
LANZOL JUNIOR 15MG,6,147.87,15,100.34,12,14.19568,1841552.533,,,,,,,,,,,,,,,,,,
LANZOL JUNIOR 15MG,6,147.87,15,100.34,12,14.19568,1841566.728,,,,,,,,,,,,,,,,,,
ZERODOL SP,5,118.3,10,80.28,12,14.1932,1841580.922,,,,,,,,,,,,,,,,,,
ZERODOL SP,5,118.3,10,80.28,12,14.1932,1841595.115,,,,,,,,,,,,,,,,,,
ZERODOL SP,5,118.3,10,80.28,12,14.1932,1841609.308,,,,,,,,,,,,,,,,,,
ZERODOL MR,6,98.5,10,66.83,12,14.19024,1841623.498,,,,,,,,,,,,,,,,,,
MONTEK LC,3,197,10,133.67,12,14.18688,1841637.685,,,,,,,,,,,,,,,,,,
MONTEK LC,3,197,10,133.67,12,14.18688,1841651.872,,,,,,,,,,,,,,,,,,
MONTEK LC,3,197,10,133.67,12,14.18688,1841666.059,,,,,,,,,,,,,,,,,,
MONTEK LC,3,197,10,133.67,12,14.18688,1841680.246,,,,,,,,,,,,,,,,,,
MONTEK LC,3,197,10,133.67,12,14.18688,1841694.433,,,,,,,,,,,,,,,,,,
MONTEK LC,3,197,10,133.67,12,14.18688,1841708.62,,,,,,,,,,,,,,,,,,
MONTEK LC,3,197,10,133.67,12,14.18688,1841722.806,,,,,,,,,,,,,,,,,,
ANXIT 0.5MG,15,47,15,29.3,12,14.184,1841736.99,,,,,,,,,,,,,,,,,,
TELEKAST L,3,295.3,15,200.38,12,14.17488,1841751.165,,,,,,,,,,,,,,,,,,
TELEKAST L,3,295.3,15,200.38,12,14.17488,1841765.34,,,,,,,,,,,,,,,,,,
FLU 150MG,4,14.72,1,9.98,12,14.1696,1841779.51,,,,,,,,,,,,,,,,,,
FLU 150MG,4,14.72,1,9.98,12,14.1696,1841793.679,,,,,,,,,,,,,,,,,,
AIR 180MG TAB,10,59,10,40.03,12,14.1664,1841807.846,,,,,,,,,,,,,,,,,,
COLICAID DROPS,1,59,1,40.03,12,14.1664,1841822.012,,,,,,,,,,,,,,,,,,
ZOLE 15g,1,59,1,40.03,12,14.1664,1841836.179,,,,,,,,,,,,,,,,,,
COLICAID DROPS,1,59,1,40.03,12,14.1664,1841850.345,,,,,,,,,,,,,,,,,,
FENLONG LINIMET 30ML,1,59,1,40.03,12,14.1664,1841864.511,,,,,,,,,,,,,,,,,,
FENLONG LINIMET 30ML,1,59,1,40.03,12,14.1664,1841878.678,,,,,,,,,,,,,,,,,,
COLICAID DROPS,1,59,1,40.03,12,14.1664,1841892.844,,,,,,,,,,,,,,,,,,
OLMIGHTY 20MG,10,59.01,10,40.04,12,14.1652,1841907.009,,,,,,,,,,,,,,,,,,
IODEX 8GM,3,40,1,31.5,12,14.16,1841921.169,,,,,,,,,,,,,,,,,,
ZOBRA EYE OINTMENT,1,70.1,1,53.28,5,14.156,1841935.325,,,,,,,,,,,,,,,,,,
ZOBRA EYE OINTMENT,1,70.1,1,53.28,5,14.156,1841949.481,,,,,,,,,,,,,,,,,,
ZOBRA EYE OINTMENT,1,70.1,1,53.28,5,14.156,1841963.637,,,,,,,,,,,,,,,,,,
GLYNASE MF,30,20.35,10,13.96,12,14.1444,1841977.782,,,,,,,,,,,,,,,,,,
CROCIN PAIN RELIEF,15,65.73,15,46.06,12,14.1428,1841991.925,,,,,,,,,,,,,,,,,,
CROCIN PAIN RELIEF,15,65.73,15,46.06,12,14.1428,1842006.067,,,,,,,,,,,,,,,,,,
CROCIN PAIN RELIEF,15,65.73,15,46.06,12,14.1428,1842020.21,,,,,,,,,,,,,,,,,,
CROCIN PAIN RELIEF,15,65.73,15,46.06,12,14.1428,1842034.353,,,,,,,,,,,,,,,,,,
CROCIN PAIN RELIEF,15,65.73,15,46.06,12,14.1428,1842048.496,,,,,,,,,,,,,,,,,,
CROCIN PAIN RELIEF,15,65.73,15,46.06,12,14.1428,1842062.639,,,,,,,,,,,,,,,,,,
CROCIN PAIN RELIEF,15,65.73,15,46.06,12,14.1428,1842076.781,,,,,,,,,,,,,,,,,,
CROCIN PAIN RELIEF,15,65.73,15,46.06,12,14.1428,1842090.924,,,,,,,,,,,,,,,,,,
CROCIN PAIN RELIEF,15,65.73,15,46.06,12,14.1428,1842105.067,,,,,,,,,,,,,,,,,,
CROCIN PAIN RELIEF,15,65.73,15,46.06,12,14.1428,1842119.21,,,,,,,,,,,,,,,,,,
CROCIN PAIN RELIEF,15,65.73,15,46.06,12,14.1428,1842133.353,,,,,,,,,,,,,,,,,,
CROCIN PAIN RELIEF,15,65.73,15,46.06,12,14.1428,1842147.495,,,,,,,,,,,,,,,,,,
CROCIN PAIN RELIEF,15,65.73,15,46.06,12,14.1428,1842161.638,,,,,,,,,,,,,,,,,,
CROCIN PAIN RELIEF,15,65.73,15,46.06,12,14.1428,1842175.781,,,,,,,,,,,,,,,,,,
CROCIN PAIN RELIEF,15,65.73,15,46.06,12,14.1428,1842189.924,,,,,,,,,,,,,,,,,,
CROCIN PAIN RELIEF,15,65.73,15,46.06,12,14.1428,1842204.067,,,,,,,,,,,,,,,,,,
CROCIN PAIN RELIEF,15,65.73,15,46.06,12,14.1428,1842218.209,,,,,,,,,,,,,,,,,,
CROCIN PAIN RELIEF,15,65.73,15,46.06,12,14.1428,1842232.352,,,,,,,,,,,,,,,,,,
LASILACTONE 50MG,10,58.94,10,40,12,14.14,1842246.492,,,,,,,,,,,,,,,,,,
LASILACTONE 50MG,10,58.94,10,40,12,14.14,1842260.632,,,,,,,,,,,,,,,,,,
LASILACTONE 50MG,10,58.94,10,40,12,14.14,1842274.772,,,,,,,,,,,,,,,,,,
PILOCAR 2% 5ML,1,58.9,1,42.64,5,14.128,1842288.9,,,,,,,,,,,,,,,,,,
HETRAZAN 100mg,50,49.14,30,38.73,5,14.1225,1842303.023,,,,,,,,,,,,,,,,,,
ABSOLUT 3G,3,196,10,133,12,14.112,1842317.135,,,,,,,,,,,,,,,,,,
OMNACORTIL 40MG,20,34.91,10,24.87,12,14.1112,1842331.246,,,,,,,,,,,,,,,,,,
ITCHGUARD 12GM,1,84.7,1,63.04,12,14.0952,1842345.341,,,,,,,,,,,,,,,,,,
ITCHGUARD 12GM,1,84.7,1,63.04,12,14.0952,1842359.436,,,,,,,,,,,,,,,,,,
ITCHGUARD 12GM,1,84.7,1,63.04,12,14.0952,1842373.532,,,,,,,,,,,,,,,,,,
ITCHGUARD 12GM,1,84.7,1,63.04,12,14.0952,1842387.627,,,,,,,,,,,,,,,,,,
ITCHGUARD 12GM,1,84.7,1,63.04,12,14.0952,1842401.722,,,,,,,,,,,,,,,,,,
ITCHGUARD 12GM,1,84.7,1,63.04,12,14.0952,1842415.817,,,,,,,,,,,,,,,,,,
RABIUM DSR,5,176,15,119.42,12,14.0832,1842429.9,,,,,,,,,,,,,,,,,,
RABIUM DSR,5,176,15,119.42,12,14.0832,1842443.984,,,,,,,,,,,,,,,,,,
CLOPILET A 75 = combiplet,10,88,15,59.72,12,14.07573333,1842458.059,,,,,,,,,,,,,,,,,,
SIBELIUM 5MG,30,102,30,78.51,12,14.0688,1842472.128,,,,,,,,,,,,,,,,,,
BETNOVATE C 20G,1,58.6,1,39.77,12,14.0576,1842486.186,,,,,,,,,,,,,,,,,,
BETNOVATE C 20G,1,58.6,1,39.77,12,14.0576,1842500.243,,,,,,,,,,,,,,,,,,
BETNOVATE C 20G,1,58.6,1,39.77,12,14.0576,1842514.301,,,,,,,,,,,,,,,,,,
BETNOVATE C 20G,1,58.6,1,39.77,12,14.0576,1842528.358,,,,,,,,,,,,,,,,,,
BETNOVATE C 20G,1,58.6,1,39.77,12,14.0576,1842542.416,,,,,,,,,,,,,,,,,,
BETNOVATE C 20G,1,58.6,1,39.77,12,14.0576,1842556.474,,,,,,,,,,,,,,,,,,
BETNOVATE C 20G,1,58.6,1,39.77,12,14.0576,1842570.531,,,,,,,,,,,,,,,,,,
BETNOVATE C 20G,1,58.6,1,39.77,12,14.0576,1842584.589,,,,,,,,,,,,,,,,,,
MAXDIL PLUS EYEY DROPS 5ML,1,72.6,1,52.27,12,14.0576,1842598.646,,,,,,,,,,,,,,,,,,
REMYLIN D ,4,219.61,15,149.02,12,14.05536,1842612.702,,,,,,,,,,,,,,,,,,
CLOSTAR GM CREAM,1,58.56,1,39.74,12,14.0512,1842626.753,,,,,,,,,,,,,,,,,,
CANDID V6 VEGINAL TABS,1,58.53,1,39.72,12,14.0436,1842640.797,,,,,,,,,,,,,,,,,,
IOBET EYE DROPS,1,60.5,1,41.48,12,14.0424,1842654.839,,,,,,,,,,,,,,,,,,
NUTROLIN B 60ml,1,58.5,1,37.68,18,14.0376,1842668.877,,,,,,,,,,,,,,,,,,
NUTROLIN B 60ml,1,58.5,1,37.68,18,14.0376,1842682.914,,,,,,,,,,,,,,,,,,
NUTROLIN B 60ml,1,58.5,1,37.68,18,14.0376,1842696.952,,,,,,,,,,,,,,,,,,
NUTROLIN B 60ml,1,58.5,1,37.68,18,14.0376,1842710.989,,,,,,,,,,,,,,,,,,
NUTROLIN B 60ml,1,58.5,1,37.68,18,14.0376,1842725.027,,,,,,,,,,,,,,,,,,
NUTROLIN B 60ml,1,58.5,1,37.68,18,14.0376,1842739.065,,,,,,,,,,,,,,,,,,
NUTROLIN B 60ml,1,58.5,1,37.68,18,14.0376,1842753.102,,,,,,,,,,,,,,,,,,
MONDESLOR,3,195,10,132.33,12,14.03712,1842767.139,,,,,,,,,,,,,,,,,,
MONDESLOR,3,195,10,132.33,12,14.03712,1842781.176,,,,,,,,,,,,,,,,,,
EZLAX SACHET,3,195,10,132.33,12,14.03712,1842795.214,,,,,,,,,,,,,,,,,,
MONDESLOR,3,195,10,132.33,12,14.03712,1842809.251,,,,,,,,,,,,,,,,,,
ISRYL M2,15,58.5,15,39.7,12,14.036,1842823.287,,,,,,,,,,,,,,,,,,
BENADON 40mg,23,25.4,10,17.23,12,14.03552,1842837.322,,,,,,,,,,,,,,,,,,
XYLOCHEK NASAL DROPS,1,58.46,1,39.67,12,14.0296,1842851.352,,,,,,,,,,,,,,,,,,
CIPLOX 500,10,45.36,10,27.98,12,14.0224,1842865.374,,,,,,,,,,,,,,,,,,
CIPLOX 500,10,45.36,10,27.98,12,14.0224,1842879.397,,,,,,,,,,,,,,,,,,
CIPLOX 500,10,45.36,10,27.98,12,14.0224,1842893.419,,,,,,,,,,,,,,,,,,
CIPLOX 500,10,45.36,10,27.98,12,14.0224,1842907.441,,,,,,,,,,,,,,,,,,
IBUGESIC PLUS 100ML,1,45.38,1,28,12,14.02,1842921.461,,,,,,,,,,,,,,,,,,
IBUGESIC PLUS 100ML,1,45.38,1,28,12,14.02,1842935.481,,,,,,,,,,,,,,,,,,
IBUGESIC PLUS 100ML,1,45.38,1,28,12,14.02,1842949.501,,,,,,,,,,,,,,,,,,
IBUGESIC PLUS 100ML,1,45.38,1,28,12,14.02,1842963.521,,,,,,,,,,,,,,,,,,
LIVOGEN,10,76.1,15,49.17,12,14.01973333,1842977.541,,,,,,,,,,,,,,,,,,
B D ULTRA FINE PEN NEEDLE {MICRO},5,15,1,10.89,12,14.016,1842991.557,,,,,,,,,,,,,,,,,,
B D ULTRA FINE PEN NEEDLE {MICRO},5,15,1,10.89,12,14.016,1843005.573,,,,,,,,,,,,,,,,,,
ULTRACET SEMI,6,146,15,99.08,12,14.01216,1843019.585,,,,,,,,,,,,,,,,,,
ULTRACET SEMI,6,146,15,99.08,12,14.01216,1843033.597,,,,,,,,,,,,,,,,,,
ULTRACET SEMI,6,146,15,99.08,12,14.01216,1843047.61,,,,,,,,,,,,,,,,,,
SUGAR FREE SACHET 100'S,1,125,1,99.1,12,14.008,1843061.618,,,,,,,,,,,,,,,,,,
SUGAR FREE SACHET 100'S,1,125,1,99.1,12,14.008,1843075.626,,,,,,,,,,,,,,,,,,
SUGAR FREE SACHET 100'S,1,125,1,99.1,12,14.008,1843089.634,,,,,,,,,,,,,,,,,,
XYLOMIST 0.1% NASAL DROPS,1,58.37,1,39.61,12,14.0068,1843103.64,,,,,,,,,,,,,,,,,,
TRIKA 0.25mg,30,29.2,15,19.82,12,14.0032,1843117.644,,,,,,,,,,,,,,,,,,
TRIKA 0.25mg,30,29.2,15,19.82,12,14.0032,1843131.647,,,,,,,,,,,,,,,,,,
TRIKA 0.25mg,30,29.2,15,19.82,12,14.0032,1843145.65,,,,,,,,,,,,,,,,,,
TRIKA 0.25mg,30,29.2,15,19.82,12,14.0032,1843159.653,,,,,,,,,,,,,,,,,,
TRIKA 0.25mg,30,29.2,15,19.82,12,14.0032,1843173.656,,,,,,,,,,,,,,,,,,
DETTOL ANTISEPTIC CREAM,1,60,1,41.07,12,14.0016,1843187.658,,,,,,,,,,,,,,,,,,
DETTOL ANTISEPTIC CREAM,1,60,1,41.07,12,14.0016,1843201.66,,,,,,,,,,,,,,,,,,
DETTOL ANTISEPTIC CREAM,1,60,1,41.07,12,14.0016,1843215.661,,,,,,,,,,,,,,,,,,
DETTOL ANTISEPTIC CREAM,1,60,1,41.07,12,14.0016,1843229.663,,,,,,,,,,,,,,,,,,
DETTOL ANTISEPTIC CREAM,1,60,1,41.07,12,14.0016,1843243.664,,,,,,,,,,,,,,,,,,
DETTOL ANTISEPTIC CREAM,1,60,1,41.07,12,14.0016,1843257.666,,,,,,,,,,,,,,,,,,
SODOCEL,20,35,10,25,12,14,1843271.666,,,,,,,,,,,,,,,,,,
I LOR TAB,8,84,10,59.38,12,13.99552,1843285.662,,,,,,,,,,,,,,,,,,
MOXIKIND CV 625MG,2,171.1,10,90.3,12,13.9928,1843299.654,,,,,,,,,,,,,,,,,,
SHELCAL HD,7,124.9,15,84.75,12,13.99066667,1843313.645,,,,,,,,,,,,,,,,,,
VILDADIP M,10,72.24,10,52.01,12,13.9888,1843327.634,,,,,,,,,,,,,,,,,,
EMESET MD 4MG,10,58.28,10,39.55,12,13.984,1843341.618,,,,,,,,,,,,,,,,,,
GLYCOMET GP 0.5,10,58.25,10,39.53,12,13.9764,1843355.594,,,,,,,,,,,,,,,,,,
GLYCOMET GP 0.5,10,58.25,10,39.53,12,13.9764,1843369.571,,,,,,,,,,,,,,,,,,
GLYCOMET GP 0.5,10,58.25,10,39.53,12,13.9764,1843383.547,,,,,,,,,,,,,,,,,,
GLYCOMET GP 0.5,10,58.25,10,39.53,12,13.9764,1843397.523,,,,,,,,,,,,,,,,,,
GLYCOMET GP 0.5,10,58.25,10,39.53,12,13.9764,1843411.5,,,,,,,,,,,,,,,,,,
GLYCOMET GP 0.5,10,58.25,10,39.53,12,13.9764,1843425.476,,,,,,,,,,,,,,,,,,
GLYCOMET GP 0.5,10,58.25,10,39.53,12,13.9764,1843439.453,,,,,,,,,,,,,,,,,,
GLYCOMET GP 0.5,10,58.25,10,39.53,12,13.9764,1843453.429,,,,,,,,,,,,,,,,,,
GLYCOMET GP 0.5,10,58.25,10,39.53,12,13.9764,1843467.405,,,,,,,,,,,,,,,,,,
GLYCOMET GP 0.5,10,58.25,10,39.53,12,13.9764,1843481.382,,,,,,,,,,,,,,,,,,
GLYCOMET GP 0.5,10,58.25,10,39.53,12,13.9764,1843495.358,,,,,,,,,,,,,,,,,,
LIPIKIND 20MG,10,58.2,10,39.49,12,13.9712,1843509.329,,,,,,,,,,,,,,,,,,
SUPERMET XL 50MG,10,87.27,15,59.22,12,13.9624,1843523.292,,,,,,,,,,,,,,,,,,
MICROCID,10,46,10,28.62,12,13.9456,1843537.237,,,,,,,,,,,,,,,,,,
MICROCID,10,46,10,28.62,12,13.9456,1843551.183,,,,,,,,,,,,,,,,,,
SEP 10MG,6,96.8,10,65.68,12,13.94304,1843565.126,,,,,,,,,,,,,,,,,,
MONTY AD TAB,4,175,10,125.13,12,13.94176,1843579.068,,,,,,,,,,,,,,,,,,
"DR,D3 DROPS",1,69,1,49.16,12,13.9408,1843593.009,,,,,,,,,,,,,,,,,,
ALPRAX 0.25MG,30,29,15,19.67,12,13.9392,1843606.948,,,,,,,,,,,,,,,,,,
ALPRAX 0.25MG,30,29,15,19.67,12,13.9392,1843620.887,,,,,,,,,,,,,,,,,,
ALPRAX 0.25MG,30,29,15,19.67,12,13.9392,1843634.826,,,,,,,,,,,,,,,,,,
ALPRAX 0.25MG,30,29,15,19.67,12,13.9392,1843648.765,,,,,,,,,,,,,,,,,,
ALPRAX 0.25MG,30,29,15,19.67,12,13.9392,1843662.705,,,,,,,,,,,,,,,,,,
ZEN RTD 200MG,20,29.01,10,19.68,12,13.9368,1843676.641,,,,,,,,,,,,,,,,,,
SELOKEN XL 25MG,15,138,30,98.33,12,13.9352,1843690.577,,,,,,,,,,,,,,,,,,
DOLO COLD,10,38,10,21.49,12,13.9312,1843704.508,,,,,,,,,,,,,,,,,,
DOLO COLD,10,38,10,21.49,12,13.9312,1843718.439,,,,,,,,,,,,,,,,,,
DOLO COLD,10,38,10,21.49,12,13.9312,1843732.37,,,,,,,,,,,,,,,,,,
GELUSIL MPS TAB,30,19.9,15,11.55,12,13.928,1843746.298,,,,,,,,,,,,,,,,,,
LIVOMYN,15,120,30,82.28,12,13.9232,1843760.221,,,,,,,,,,,,,,,,,,
DAROLAC SACHETS,4,145,10,98.39,12,13.92128,1843774.143,,,,,,,,,,,,,,,,,,
DAROLAC SACHETS,4,145,10,98.39,12,13.92128,1843788.064,,,,,,,,,,,,,,,,,,
NAPROSYN,10,58,10,39.36,12,13.9168,1843801.981,,,,,,,,,,,,,,,,,,
NAPROSYN,10,58,10,39.36,12,13.9168,1843815.898,,,,,,,,,,,,,,,,,,
ANXIT 0.5MG,15,47,15,29.54,12,13.9152,1843829.813,,,,,,,,,,,,,,,,,,
ANXIT 0.5MG,15,47,15,29.54,12,13.9152,1843843.728,,,,,,,,,,,,,,,,,,
ANXIT 0.5MG,15,47,15,29.54,12,13.9152,1843857.643,,,,,,,,,,,,,,,,,,
ANXIT 0.5MG,15,47,15,29.54,12,13.9152,1843871.558,,,,,,,,,,,,,,,,,,
FOL 5MG,30,46.63,30,29.21,12,13.9148,1843885.473,,,,,,,,,,,,,,,,,,
